word,occurence
sortida,8.0
sol,12.0
"l'Empordà,",1.0
sis,9.0
barrots,2.0
ferro,3.0
Agraeixo,6.0
conseller,44.0
@JosepBargallo,9.0
seves,35.0
explicacions,13.0
entrevista.,2.0
La,602.0
immersió,7.0
lingüística,4.0
toca.,2.0
L…,1.0
Estimat,1.0
Vicepresident,2.0
@perearagones,72.0
"serens,",1.0
tranquils,2.0
orgullosos.,1.0
Guanyarem,4.0
som,55.0
correcte,1.0
hist…,1.0
Tal,1.0
com,613.0
estan,65.0
"coses,",5.0
aquestes,29.0
eleccions,77.0
guanyarà,2.0
C’s.,1.0
Votem,3.0
cor,6.0
cap!,1.0
badem!!,1.0
#21D,68.0
https:/…,51.0
@PU2wqnANI5yVpnwhdNC7NXIWtmAK2wMz9UYU1S9hE=:,1.0
.@bcnencomu,18.0
sí,50.0
podia...,3.0
pactar,30.0
CiU,19.0
Ciudadanos.,5.0
Quina,66.0
decepció!,3.0
@Mboschm:,2.0
@assemblea,13.0
mira,13.0
busco,2.0
només,200.0
trobo,9.0
argumentari,2.0
pel,227.0
sí.,11.0
em,123.0
això.,22.0
falta,41.0
de…,59.0
@sport:,1.0
#FinalCopa,2.0
Vea,1.0
goles,1.0
Final,3.0
Copa,5.0
Rey,1.0
https://t.co/rP86gte1ky,1.0
https://t.co/cIIVaewEIX,1.0
@JordiBes:,1.0
Torre,2.0
"Glòries,",2.0
què?,9.0
Es,68.0
posarà,2.0
lloguer,17.0
acollir,7.0
"oficines,",1.0
hotel,2.0
possible,32.0
https://t.co…,46.0
@PedralbesEnComu:,10.0
Vols,15.0
conèixer,13.0
Nou,6.0
Tramvia,48.0
@AdaColau,235.0
l'Av.Pedralbes?,1.0
seu,155.0
d'Abertis,1.0
dimarts,13.0
21,23.0
19h,10.0
a…,58.0
@SoleVallejos:,1.0
https://t.co/yOsLiURNi8,1.0
@Bernat_Deltell:,10.0
Fil,1.0
sobre,404.0
què,204.0
passat,59.0
"avui.
El",1.0
president,154.0
"Parlament,",16.0
"@rogertorrent,",1.0
jugada.,1.0
en…,17.0
@KP5YMWpjuwsjsDERWSgWmv6P9Mo52dSkR1VX9tOg1xo=:,117.0
Fer,12.0
grans,26.0
promeses,17.0
fent,82.0
tot,232.0
contrari:,6.0
crac!,6.0
#ElCracTV3,6.0
#DuelCracTV3,6.0
https://t.c…,62.0
⚠️,99.0
Quan,116.0
Podemos,10.0
havia,67.0
guanyat,12.0
l'Òscar...,4.0
arriba,10.0
PP,112.0
demostrar,24.0
Espanya,29.0
irreformable!,4.0
PASSA-HO…,3.0
@InesArrimadas,52.0
@martarovira,39.0
Holi,11.0
@InesArrimadas.,11.0
parlis,7.0
d'educació,7.0
primer,65.0
hauries,21.0
d'aprendre,5.0
està,151.0
l'educació,6.0
".@IMendezDeVigo,",4.0
hemos,5.0
puesto,4.0
sonido,4.0
lo,80.0
te,55.0
pasaba,4.0
cabeza,7.0
😒,4.0
https://t.co/ZmDq2ztHxa,4.0
‘Ni,7.0
Matrix,7.0
"punyetes,",7.0
Arrimadas’,7.0
#ZASCA,14.0
#17DebatL6,39.0
😂😂,55.0
https://t.co/3Oyz0xkjAQ,7.0
@alejandrosanmo:,1.0
Ya,4.0
hay,42.0
vídeos,4.0
incidente,1.0
denunciado,3.0
Guardia,3.0
dijo,1.0
haber,4.0
sido,12.0
víctima,2.0
agresión,1.0
llevar,3.0
una…,11.0
@ViquidonesUPF:,1.0
Algú,34.0
s'anima,1.0
fer,425.0
seva,155.0
entrada,1.0
@Viquipedia?,1.0
@onsonlesdones,3.0
@Wikimujeres_ES,1.0
@AmicalWikimedia,1.0
@DTIC_UPF,1.0
@UPFigua…,1.0
@ciubcn:,5.0
📃@quimforn,2.0
dubtes,9.0
voluntat,20.0
real,14.0
gov,3.0
d’arribar,2.0
acords,11.0
aprovar,8.0
#pressupostos2017🔎https://t.…,1.0
@imuntan:,1.0
Només,50.0
dones,33.0
entre,117.0
19,17.0
càrrecs,12.0
Trump,5.0
cap,243.0
llatina.,1.0
pluralitat,8.0
diversitat!,1.0
https://t.co/…,52.0
@ERCbcn:,604.0
📝,11.0
Comunicat,7.0
d'Esquerra,12.0
Republicana,26.0
Juanjo,3.0
"Puigcorbé

1⃣",2.0
fets,15.0
relatats,2.0
encaixen,2.0
valors,7.0
republican…,2.0
@SextaNocheTV:,7.0
'Colau,11.0
asume,6.0
sus,17.0
"responsabilidades,",6.0
culpa,36.0
todos.,6.0
alcaldesa,7.0
incapaz,6.0
garant…,6.0
@MNAnoticies:,4.0
⚠️🎥,4.0
xarxes,7.0
denuncien,5.0
"Andrino,",2.0
Falange,2.0
agressors,2.0
"Blanquerna,",2.0
tocament,2.0
als…,2.0
@JoanTarda:,63.0
absolutament,16.0
fals,13.0
@Esquerra_ERC,411.0
hagi,52.0
canviat,14.0
posició,14.0
respecte,48.0
pressupostos,51.0
l’Estat.,7.0
quedi,13.0
davant,65.0
Exigim,18.0
des,120.0
tribuna,1.0
Pedro,22.0
Sánchez,38.0
ministre,24.0
Marlasca,1.0
depurin,1.0
immediatament,6.0
responsabilitats,12.0
l’aggressió…,1.0
@FraJeremies:,16.0
"concrets,",1.0
desacord,2.0
JxCat,45.0
"que,",24.0
acordant,1.0
estar,47.0
total,11.0
ell,46.0
"mateix,",3.0
acorda,2.0
públi…,1.0
@MeritxellSerret:,9.0
Va,19.0
honor,4.0
poder,60.0
ahir,33.0
@delgoveu,1.0
primera,51.0
trobada,6.0
d'Acció,1.0
Exterior,2.0
@AlfredBosch,547.0
"
amb…",1.0
@Radiolamina:,4.0
policia,36.0
requisa,6.0
peces,5.0
grogues,9.0
seguidors,14.0
Boca,4.0
pensant,6.0
llaços,22.0
https://t.co/1H6QkN7fMH,4.0
@ARApolitica:,185.0
Ferran,6.0
Mascarell:,2.0
“Si,4.0
primàries,53.0
d’una,11.0
part,64.0
tinc,24.0
seriosos,2.0
beneficiïn”,2.0
htt…,49.0
amenaça,8.0
suspendre,10.0
tres,33.0
autonomies,1.0
l’Estat,18.0
https://t.co/MCowzfYv3b,1.0
Ho,78.0
explica,32.0
@AleixMoldes,1.0
impedeix,4.0
declaració,20.0
institucional,7.0
Congrés,22.0
prohibir,12.0
partits,60.0
neofeixistes.,2.0
Cs,53.0
li,126.0
dona,47.0
suport,110.0
despré…,6.0
corresponsals,3.0
critiquen,6.0
espanyol,95.0
suposat,4.0
premi,5.0
l'article,54.0
"""contribueixi",3.0
bona,37.0
reputac…,3.0
Jáuregui,4.0
(PSOE),4.0
empresonaments,4.0
"""un",9.0
"plus""",4.0
afavoreix,7.0
https://t.co/n0yOUpgyYr,4.0
'Realpolitik’,5.0
paraula,12.0
Europa,20.0
esperava,5.0
Puigdemont.,18.0
crònica,9.0
d'@antonibassas,8.0
ple,77.0
d'ahir,10.0
https://t.co/3JcD…,5.0
mesa,25.0
Parlament,93.0
demanarà,19.0
informe,7.0
lletrats,10.0
informin,4.0
