"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"6sbnl8HrIQwKSAM+a2E7Bv4K2cCki1seDn7YqbzQ=","6sbnl8HrIQwKSAM+a2E7Bv4K2cCki1seDn7YqbzQ=","6sbnl8HrIQwKSAM+a2E7Bv4K2cCki1seDn7YqbzQ=","Vic, Països Catalans","","","0","0","2018-12-11","ca"
"RUlZ1aaVKeqWAkofXvQMCrD60scfI8BbTpEyBI+k4=","RUlZ1aaVKeqWAkofXvQMCrD60scfI8BbTpEyBI+k4=","RUlZ1aaVKeqWAkofXvQMCrD60scfI8BbTpEyBI+k4=","","","","0","0","2018-12-12","en"
"K8IPYxA5eoYaq1qHGB9kPBvNgCcMDIvb8qEaXEjI7g=","K8IPYxA5eoYaq1qHGB9kPBvNgCcMDIvb8qEaXEjI7g=","K8IPYxA5eoYaq1qHGB9kPBvNgCcMDIvb8qEaXEjI7g=","Granollers, Catalunya","","","0","19","2018-12-11","en"
"ZFNogq6LWUBNDAXhYHr0BD30uo0hP6FQHaP1d93azY=","ZFNogq6LWUBNDAXhYHr0BD30uo0hP6FQHaP1d93azY=","ZFNogq6LWUBNDAXhYHr0BD30uo0hP6FQHaP1d93azY=","","Independència JA!","","6","64","2016-01-31","en"
"9MTuIXlMP8IMY495D+PllDmUurGmeT+E494x1m7Ls=","9MTuIXlMP8IMY495D+PllDmUurGmeT+E494x1m7Ls=","9MTuIXlMP8IMY495D+PllDmUurGmeT+E494x1m7Ls=","Barcelona, Països Catalans","República i Unitat Popular!","","114","161","2018-11-29","en"
"SIqUcAHsip63x2iwmdnCO95uCMd8yUXCa9Kudf+4s60=","SIqUcAHsip63x2iwmdnCO95uCMd8yUXCa9Kudf+4s60=","SIqUcAHsip63x2iwmdnCO95uCMd8yUXCa9Kudf+4s60=","","","","0","0","2018-12-12","en"
"Au48dZ+Jhy5Z5bghIpe8ZU8gN4yQrIIFZpI1i8WWxHI=","Au48dZ+Jhy5Z5bghIpe8ZU8gN4yQrIIFZpI1i8WWxHI=","Au48dZ+Jhy5Z5bghIpe8ZU8gN4yQrIIFZpI1i8WWxHI=","","","","83","125","2018-03-05","es"
"ZdGf5tuUqhcxKExnLLiCnfaLq+G4koqDQugpT9YM1c=","ZdGf5tuUqhcxKExnLLiCnfaLq+G4koqDQugpT9YM1c=","ZdGf5tuUqhcxKExnLLiCnfaLq+G4koqDQugpT9YM1c=","","","","41","107","2018-12-12","en"
"UEelJSylmGkOniJfH0HGt1hocHufNSF2RMo7N47ECe4=","UEelJSylmGkOniJfH0HGt1hocHufNSF2RMo7N47ECe4=","UEelJSylmGkOniJfH0HGt1hocHufNSF2RMo7N47ECe4=","","","","0","0","2018-12-12","en"
"zUjiJFB69qMY+RWAZSEwz9VBgvbseWYw37tKvdhgAM=","zUjiJFB69qMY+RWAZSEwz9VBgvbseWYw37tKvdhgAM=","zUjiJFB69qMY+RWAZSEwz9VBgvbseWYw37tKvdhgAM=","","","","4","36","2018-12-12","en"
"738418101964951552","#FemXarxa per la República","XarxaRepublica","","Participa de la xarxa per la República més gran a Twitter. Segueix-nos i et seguirem! #FemXarxa","https://t.co/C8OskO8QRy","12941","7547","2016-06-02","es"
"bN9bMlXV3CAMuCHW0FYl1k0IuPtIGNL7+un4uBJgGs=","bN9bMlXV3CAMuCHW0FYl1k0IuPtIGNL7+un4uBJgGs=","bN9bMlXV3CAMuCHW0FYl1k0IuPtIGNL7+un4uBJgGs=","Catalunya, Països Catalans","#JoSocCDR","","12","51","2018-11-29","en"
"Tb1FVG3o0r2CfRdySF9cyrKuCOB43hcm0fOtBDFH3U=","Tb1FVG3o0r2CfRdySF9cyrKuCOB43hcm0fOtBDFH3U=","Tb1FVG3o0r2CfRdySF9cyrKuCOB43hcm0fOtBDFH3U=","Amposta","Terres de l'Ebre, viure vol dir prendre partit.","","46","95","2018-12-11","en"
"XEWt0hkjqgssZK5h4RTVhvZmYiaNYUJCPGvXL8Lgygw=","XEWt0hkjqgssZK5h4RTVhvZmYiaNYUJCPGvXL8Lgygw=","XEWt0hkjqgssZK5h4RTVhvZmYiaNYUJCPGvXL8Lgygw=","Sabadell, Spain","Liberal d'esquerres. Independentista","","0","25","2018-12-03","en"
"gD0tW1UsTJ84HRIgqhF8kPd1A8TnEAwgvHMlBx5cVQ=","gD0tW1UsTJ84HRIgqhF8kPd1A8TnEAwgvHMlBx5cVQ=","gD0tW1UsTJ84HRIgqhF8kPd1A8TnEAwgvHMlBx5cVQ=","Barcelona, Espanya","El diari de la informació en moviment. Segueix-lo!","https://t.co/eM35hqqOFD","617","1350","2017-11-20","ca"
"Dbx6LUGQiFQC5t3Q2kUq25GJy7YZLEGAapJlKxsaG4=","Dbx6LUGQiFQC5t3Q2kUq25GJy7YZLEGAapJlKxsaG4=","Dbx6LUGQiFQC5t3Q2kUq25GJy7YZLEGAapJlKxsaG4=","Manresa, Espanya","Vull la República Catalana!","","2168","86","2013-01-03","ca"
"rDTxO+Q3vmSE0a42nNdHVxAzd1cgaPNzn2poxmA6og=","rDTxO+Q3vmSE0a42nNdHVxAzd1cgaPNzn2poxmA6og=","rDTxO+Q3vmSE0a42nNdHVxAzd1cgaPNzn2poxmA6og=","Vic","Fem la República catalana!","","13","40","2018-12-11","en"
"aPJKGxAKOJwwvdKClzz9STm9FTvNhbKLp6jP5zke8=","aPJKGxAKOJwwvdKClzz9STm9FTvNhbKLp6jP5zke8=","aPJKGxAKOJwwvdKClzz9STm9FTvNhbKLp6jP5zke8=","","","","31","79","2018-12-11","en"
"caeLqoZNCEWUMMj2RX6GmzTbJpSQEM64E5vNt6261S8=","caeLqoZNCEWUMMj2RX6GmzTbJpSQEM64E5vNt6261S8=","caeLqoZNCEWUMMj2RX6GmzTbJpSQEM64E5vNt6261S8=","","","","0","0","2018-12-12","en"
"VNl2VteYZ2SEPLh5aTtB2R3YN6uldIy3ckglcCH5zfY=","VNl2VteYZ2SEPLh5aTtB2R3YN6uldIy3ckglcCH5zfY=","VNl2VteYZ2SEPLh5aTtB2R3YN6uldIy3ckglcCH5zfY=","","","","0","0","2018-12-12","en"
"Qz+iYFIZhuqvlhnz4kAqR0XNEOoh2nuLocTy4S6tEwM=","Qz+iYFIZhuqvlhnz4kAqR0XNEOoh2nuLocTy4S6tEwM=","Qz+iYFIZhuqvlhnz4kAqR0XNEOoh2nuLocTy4S6tEwM=","","Catalunya is not Spain","","287","315","2016-12-12","en"
"kxQjWzWi27zAb8UXb2NjoFx69UpFfuO6qdVkvdwH6Fs=","kxQjWzWi27zAb8UXb2NjoFx69UpFfuO6qdVkvdwH6Fs=","kxQjWzWi27zAb8UXb2NjoFx69UpFfuO6qdVkvdwH6Fs=","","","","99","278","2018-03-05","es"
"50phKkRbaJ24FRVz+mkbsXEklTOEOoPbk0E3IeaVFQM=","50phKkRbaJ24FRVz+mkbsXEklTOEOoPbk0E3IeaVFQM=","50phKkRbaJ24FRVz+mkbsXEklTOEOoPbk0E3IeaVFQM=","","","","37","102","2018-12-11","en"
"PY2C4qh5lyaxXx4iMkzdEJwtDhgQWed0Fh3pi2siO5Q=","PY2C4qh5lyaxXx4iMkzdEJwtDhgQWed0Fh3pi2siO5Q=","PY2C4qh5lyaxXx4iMkzdEJwtDhgQWed0Fh3pi2siO5Q=","","Barcelona i del Barça!","","165","527","2017-07-12","ca"
"BiOts1VVFVbRBD4sPEnyJHIRWuTzlq92QyG2GH44mEA=","BiOts1VVFVbRBD4sPEnyJHIRWuTzlq92QyG2GH44mEA=","BiOts1VVFVbRBD4sPEnyJHIRWuTzlq92QyG2GH44mEA=","Barcelona, Spain","Indi afincat a Catalunya","","2","28","2014-08-13","en"
"n4MpmhygUrdAwix1BqRcNPMsz1XM93xF9WGgJngqz4=","n4MpmhygUrdAwix1BqRcNPMsz1XM93xF9WGgJngqz4=","n4MpmhygUrdAwix1BqRcNPMsz1XM93xF9WGgJngqz4=","","Llibertat Preses Polítiques.","","15","91","2018-12-11","en"
"WmuGrcKvlItmfLcYo8JqFvqcwfJ7hn0jvHrAFZHpdBo=","WmuGrcKvlItmfLcYo8JqFvqcwfJ7hn0jvHrAFZHpdBo=","WmuGrcKvlItmfLcYo8JqFvqcwfJ7hn0jvHrAFZHpdBo=","","Filòloga resident a Barcelona. Enamorada del català. Somiatruites i sempre amb un somriure d'orella a orella! :)","","2323","4971","2011-11-24","es"
"TZrUnvCwEay1B6fjGjje36cMpsgPuBxn+uoDMFJxnI=","TZrUnvCwEay1B6fjGjje36cMpsgPuBxn+uoDMFJxnI=","TZrUnvCwEay1B6fjGjje36cMpsgPuBxn+uoDMFJxnI=","","","","0","0","2018-12-12","en"
"Hmh0IGswdrl8QMt1GyF8nAsFK6DuZU6dLuBXdp5amg=","Hmh0IGswdrl8QMt1GyF8nAsFK6DuZU6dLuBXdp5amg=","Hmh0IGswdrl8QMt1GyF8nAsFK6DuZU6dLuBXdp5amg=","","","","0","0","2018-12-12","en"
"mben+KNTQxdkpd0Ozu4locXWkWqqWK072a+k4g++Fw4=","mben+KNTQxdkpd0Ozu4locXWkWqqWK072a+k4g++Fw4=","mben+KNTQxdkpd0Ozu4locXWkWqqWK072a+k4g++Fw4=","Barcelona, Spain","","","0","0","2018-12-11","en"
"D5u03QBMAjjm5+srZTeo18pvQh945c+45ZFxkTl4d7Y=","D5u03QBMAjjm5+srZTeo18pvQh945c+45ZFxkTl4d7Y=","D5u03QBMAjjm5+srZTeo18pvQh945c+45ZFxkTl4d7Y=","","","","61","141","2018-02-27","ca"
"4bWqnOtIdgDNLvHCayLHgJiiBVIFMGJeZuZ2mXRfHvo=","4bWqnOtIdgDNLvHCayLHgJiiBVIFMGJeZuZ2mXRfHvo=","4bWqnOtIdgDNLvHCayLHgJiiBVIFMGJeZuZ2mXRfHvo=","","","","0","0","2018-12-12","en"
